Designator,Mid X,Mid Y,Rotation,Layer
C1,152.773875,-256.72175,180,bottom
C2,152.773875,-258.75375,180,bottom
C3,163.695875,-263.32575,180,bottom
C4,161.028875,-252.02275,180,bottom
C5,169.918875,-254.11825,270,bottom
C6,158.488875,-261.92875,180,bottom
C7,169.918875,-260.27775,90,bottom
D1,152.4,-192.0875,90,bottom
D10,183.35625,-241.3,90,bottom
D11,180.18125,-183.35625,90,bottom
D12,189.70625,-202.40625,90,bottom
D13,194.46875,-221.45625,90,bottom
D14,199.23125,-240.50625,90,bottom
D15,203.99375,-259.55625,90,bottom
D16,199.23125,-183.35625,90,bottom
D17,208.75625,-202.40625,90,bottom
D18,213.51875,-221.45625,90,bottom
D19,218.28125,-240.50625,90,bottom
D2,164.30625,-185.7375,90,bottom
D20,223.04375,-259.55625,90,bottom
D21,218.28125,-183.35625,90,bottom
D22,227.80625,-202.40625,90,bottom
D23,232.664,-221.488,90,bottom
D24,237.33125,-240.50625,90,bottom
D25,245.26875,-259.61875,90,bottom
D26,237.33125,-183.35625,90,bottom
D27,246.85625,-202.40625,90,bottom
D28,251.46,-221.488,90,bottom
D29,256.38125,-240.50625,90,bottom
D3,170.65625,-203.2,90,bottom
D30,270.075,-259.35,90,bottom
D31,290.075,-259.63125,90,bottom
D32,256.38125,-183.35625,90,bottom
D33,265.90625,-202.40625,90,bottom
D34,270.183,-221.411,90,bottom
D35,275.43125,-240.50625,90,bottom
D36,309.165625,-259.55,90,bottom
D37,275.43125,-183.35625,90,bottom
D38,284.95625,-202.40625,90,bottom
D39,289.71875,-221.45625,90,bottom
D4,175.41875,-222.25,90,bottom
D40,294.48125,-240.50625,90,bottom
D41,294.48125,-183.35625,90,bottom
D42,304.00625,-202.40625,90,bottom
D43,308.76875,-221.45625,90,bottom
D44,313.53125,-240.50625,90,bottom
D45,313.53125,-183.35625,90,bottom
D46,323.05625,-202.40625,90,bottom
D47,327.81875,-221.45625,90,bottom
D48,332.58125,-240.50625,90,bottom
D49,332.58125,-183.35625,90,bottom
D5,180.18125,-241.3,90,bottom
D50,342.10625,-202.40625,90,bottom
D51,346.86875,-221.45625,90,bottom
D52,351.63125,-240.50625,90,bottom
D53,351.63125,-183.35625,90,bottom
D54,361.15625,-203.2,90,bottom
D55,365.91875,-222.25,90,bottom
D56,370.68125,-240.50625,90,bottom
D57,370.68125,-259.55625,90,bottom
D58,370.68125,-183.35625,90,bottom
D59,364.33125,-203.2,90,bottom
D6,142.08125,-259.55625,90,bottom
D60,384.96875,-221.45625,90,bottom
D61,390.128125,-243.91875,90,bottom
D62,389.73125,-259.55625,90,bottom
D63,389.73125,-184.15,90,bottom
D64,392.938,-184.25,90,bottom
D65,369.09375,-222.25,90,bottom
D66,393.84375,-243.91875,90,bottom
D67,392.509375,-260.50625,90,bottom
D7,167.48125,-185.7375,90,bottom
D8,173.83125,-203.2,90,bottom
D9,178.59375,-222.25,90,bottom
F1,149.225,-192.0875,270,bottom
J1,128.27,-206.111,180,bottom
K_#0_1,324.64375,-181.76875,0,bottom
K_#1,153.19375,-181.76875,180,bottom
K_#2,172.24375,-181.76875,0,bottom
K_#3,191.29375,-181.76875,0,bottom
K_#4,210.34375,-181.76875,0,bottom
K_#5,229.39375,-181.76875,0,bottom
K_#6,248.44375,-181.76875,0,bottom
K_#7,267.49375,-181.76875,0,bottom
K_#8,286.54375,-181.76875,0,bottom
K_#9,305.59375,-181.76875,0,bottom
"K_,1",305.59375,-238.91875,0,bottom
K_-1,343.69375,-181.76875,0,bottom
K_.1,324.64375,-238.91875,0,bottom
K_/1,343.69375,-238.91875,0,bottom
K_:1,357.98125,-219.86875,0,bottom
K_;1,338.93125,-219.86875,0,bottom
K_=1,362.74375,-181.76875,0,bottom
K_@1,353.21875,-200.81875,0,bottom
K_A1,167.48125,-219.86875,0,bottom
K_B1,248.44375,-238.91875,0,bottom
K_BKSL1,362.74375,-238.91875,0,bottom
K_BKSPC1,400.84375,-181.76875,0,bottom
K_C1,210.34375,-238.91875,0,bottom
K_CAPS1,141.2875,-219.86875,0,bottom
K_D1,205.58125,-219.86875,0,bottom
K_DOWN1,381.79375,-257.96875,0,bottom
K_E1,200.81875,-200.81875,0,bottom
K_ENTER1,398.4625,-210.34375,0,bottom
K_ESC1,134.14375,-181.76875,180,bottom
K_F1,224.63125,-219.86875,0,bottom
K_G1,243.68125,-219.86875,0,bottom
K_H1,262.73125,-219.86875,0,bottom
K_HENK1,281.78125,-257.96875,0,bottom
K_I1,296.06875,-200.81875,0,bottom
K_J1,281.78125,-219.86875,0,bottom
K_K1,300.83125,-219.86875,0,bottom
K_L1,319.88125,-219.86875,0,bottom
K_LALT1,196.05625,-257.96875,0,bottom
K_LCTRL1,134.14375,-257.96875,0,bottom
K_LEFT1,362.74375,-257.96875,0,bottom
K_LSFT1,143.66875,-238.91875,0,bottom
K_LSPACE1,236.5375,-257.96875,0,bottom
K_M1,286.54375,-238.91875,0,bottom
K_N1,267.49375,-238.91875,0,bottom
K_NHENK1,215.10625,-257.96875,0,bottom
K_O1,315.11875,-200.81875,0,bottom
K_P1,334.16875,-200.81875,0,bottom
K_Q1,162.71875,-200.81875,0,bottom
K_R1,219.86875,-200.81875,0,bottom
K_RIGHT1,400.84375,-257.96875,0,bottom
K_RSFT1,400.84375,-238.91875,0,bottom
K_RSPACE1,260.35,-257.96875,0,bottom
K_S1,186.53125,-219.86875,0,bottom
K_T1,238.91875,-200.81875,0,bottom
K_TAB1,138.90625,-200.81875,0,bottom
K_U1,277.01875,-200.81875,0,bottom
K_UP1,381.79375,-238.91875,0,bottom
K_V1,229.39375,-238.91875,0,bottom
K_W1,181.76875,-200.81875,0,bottom
K_WIN1,300.83125,-257.96875,0,bottom
K_X1,191.29375,-238.91875,0,bottom
K_Y1,257.96875,-200.81875,0,bottom
K_YEN1,381.79375,-181.76875,0,bottom
K_Z1,172.24375,-238.91875,0,bottom
K_[1,372.26875,-200.81875,0,bottom
K_]1,377.03125,-219.86875,0,bottom
L1,149.987,-176.784,270,bottom
R1,147.236336,-256.788664,90,bottom
R2,145.299586,-256.788664,90,bottom
R3,169.169575,-263.3321,0,bottom
R4,134.874,-177.546,90,bottom
R5,136.779,-177.546,90,bottom
R6,171.823875,-254.11825,90,bottom
SW1,181.36475,-260.632,180,bottom
U1,164.409375,-257.46875,90,bottom
U2,144.018,-189.103,180,bottom
USB1,143.1925,-170.9674,0,bottom
Y1,156.456875,-257.73775,270,bottom
